sample_id,split,family,X_ref3_min,X_ref3_max,X_ref3_mean,X_ref3_std,GT_min,GT_max,GT_mean,GT_std,Mshell_onehot_invalid,delta_rho_min,delta_rho_max,delta_rho_mean,delta_rho_std,Pcyc_min,Pcyc_max,Pcyc_mean,Pcyc_std,Pcyc_abs_le_0p25_ratio,Pcyc_abs_gt_0p25_ratio,nan_count_all_metadata,inf_count_all_metadata
line_train_0000,train,line,0.0,1.0,0.00449140090495348,0.04211243987083435,0.0,0.9294610023498535,0.0005632963730022311,0.022108016535639763,0,-0.06678342074155807,0.0,-0.0009257291094399989,0.006324563641101122,-0.956943690776825,0.999998927116394,-0.001211513881571591,0.09077884256839752,0.9811921296296297,0.01880787037037037,0,0
line_train_0001,train,line,0.0,1.0,0.012560732662677765,0.06890735030174255,0.0,0.9412720203399658,0.0028232308104634285,0.048176318407058716,0,-0.002860620617866516,0.0719234049320221,0.0025229980237782,0.010292747989296913,-0.9943734407424927,0.9640410542488098,-0.0017473354237154126,0.15536171197891235,0.9435763888888888,0.05642361111111111,0,0
line_train_0002,train,line,0.0,0.9454691410064697,0.011644584126770496,0.06838008016347885,0.0,1.0,0.0006008617347106338,0.022482380270957947,0,-0.07411286234855652,0.0747220367193222,-0.00044263037852942944,0.011658894829452038,-0.9256665706634521,0.9999964833259583,0.002553238533437252,0.1047392264008522,0.9761284722222222,0.023871527777777776,0,0
line_train_0003,train,line,0.0,1.0,0.011811609379947186,0.07095605880022049,0.0,0.9836980104446411,0.0011709040263667703,0.031707532703876495,0,-0.07389162480831146,0.07500000298023224,0.001537581323646009,0.012000344693660736,-0.966776430606842,0.9999969601631165,0.0034389218781143427,0.1193074882030487,0.9688946759259259,0.031105324074074073,0,0
line_train_0004,train,line,0.0,0.9821658730506897,0.008686909452080727,0.05702142044901848,0.0,1.0,0.0012850910425186157,0.034686703234910965,0,-0.07344980537891388,0.0747220367193222,0.0016120800282806158,0.009131203405559063,-0.9943734407424927,0.9640410542488098,0.0008160211727954447,0.10730452090501785,0.9721498842592593,0.02785011574074074,0,0
line_train_0005,train,line,0.0,0.8798874616622925,0.005825597792863846,0.04287184774875641,0.0,1.0,0.0003208420821465552,0.016950558871030807,0,-0.07389162480831146,0.07500000298023224,-0.0011671192478388548,0.009917405433952808,-0.9788332581520081,0.9999964833259583,-0.00012711186718661338,0.0963563323020935,0.9786603009259259,0.021339699074074073,0,0
line_train_0006,train,line,0.0,0.884836733341217,0.004318272694945335,0.035708677023649216,0.0,1.0,0.0024634941946715117,0.04521606117486954,0,-0.0022671371698379517,0.048305317759513855,0.0007696154643781483,0.004656237084418535,-0.998612105846405,0.9649965167045593,-0.0027477145195007324,0.1076165959239006,0.9739583333333334,0.026041666666666668,0,0
line_train_0007,train,line,0.0,0.9543970823287964,0.017387254163622856,0.07859231531620026,0.0,1.0,0.0014010117156431079,0.034482523798942566,0,-0.07411286234855652,0.07500000298023224,0.0009446106851100922,0.01463775709271431,-0.9820112586021423,0.9999969601631165,0.0019398860167711973,0.1420031487941742,0.9558738425925926,0.044126157407407406,0,0
line_train_0008,train,line,0.0,0.8476860523223877,0.00816827267408371,0.05275166407227516,0.0,1.0,0.001380926463752985,0.03478657081723213,0,-0.06837531924247742,0.0,-0.0015473604435101151,0.008632122538983822,-0.9788332581520081,0.9999964833259583,-0.0008482717094011605,0.10103915631771088,0.9730902777777778,0.026909722222222224,0,0
line_train_0009,train,line,0.0,0.8471689820289612,0.00808755960315466,0.050392717123031616,0.0,1.0,0.0019199729431420565,0.0393528938293457,0,-0.013526573777198792,0.05524376034736633,0.001123482477851212,0.00598992221057415,-0.998612105846405,0.9649965167045593,-0.0014272542903199792,0.12899108231067657,0.9609375,0.0390625,0,0
line_train_0010,train,line,0.0,1.0,0.010641329921782017,0.07543418556451797,0.0,0.962086021900177,0.0009106749203056097,0.02864544279873371,0,0.0,0.07090720534324646,0.001083442592062056,0.007344888988882303,-0.971254289150238,0.9999969601631165,-0.0007483749650418758,0.0805925726890564,0.9835069444444444,0.016493055555555556,0,0
line_train_0011,train,line,0.0,0.8892042636871338,0.010683335363864899,0.05676596239209175,0.0,1.0,0.0008754994487389922,0.02761770598590374,0,-0.07494446635246277,0.07499998807907104,-0.000706528197042644,0.014051084406673908,-0.9820112586021423,0.9999964833259583,-0.0003501673636492342,0.12416385114192963,0.9622395833333334,0.037760416666666664,0,0
line_train_0012,train,line,0.0,0.8667486906051636,0.0072054993361234665,0.051803939044475555,0.0,1.0,0.0016895002918317914,0.038399532437324524,0,-0.07000000774860382,0.0,-0.0012671691365540028,0.007645817939192057,-0.9745883345603943,0.999998927116394,0.0015929931541904807,0.10521791875362396,0.9761284722222222,0.023871527777777776,0,0
line_train_0013,train,line,0.0,1.0,0.015394346788525581,0.08294400572776794,0.0,0.9983350038528442,0.0026939036324620247,0.04800853133201599,0,-0.015370890498161316,0.06242644786834717,0.001739489147439599,0.007985401898622513,-0.998612105846405,0.9628074765205383,-0.0010503116063773632,0.15675288438796997,0.9418402777777778,0.058159722222222224,0,0
line_train_0014,train,line,0.0,0.9054788947105408,0.009277410805225372,0.059175994247198105,0.0,1.0,0.0004470260755624622,0.019939037039875984,0,-0.07411286234855652,0.0747220367193222,-0.0009729739394970238,0.011090491898357868,-0.9820112586021423,0.9969497919082642,-0.001966142328456044,0.10409627854824066,0.9786603009259259,0.021339699074074073,0,0
line_train_0015,train,line,0.0,0.8387010097503662,0.017812786623835564,0.08082703500986099,0.0,1.0,0.0013774544931948185,0.03405134007334709,0,-0.07483351975679398,0.07500000298023224,0.0004993131733499467,0.014729136601090431,-0.9993054270744324,0.9999994039535522,0.006883209105581045,0.14072415232658386,0.9555121527777778,0.044487847222222224,0,0
line_train_0016,train,line,0.0,1.0,0.00684741698205471,0.05419342964887619,0.0,0.9736430048942566,0.0009887012420222163,0.029150187969207764,0,-0.044524893164634705,0.01918923854827881,-0.00042993525858037174,0.003608154132962227,-0.998612105846405,0.9766644239425659,0.0011591777438297868,0.11047269403934479,0.9750434027777778,0.024956597222222224,0,0
line_train_0017,train,line,0.0,0.939806342124939,0.018432291224598885,0.08984056860208511,0.0,1.0,0.002266050549224019,0.043500229716300964,0,-0.07389162480831146,0.07500000298023224,-0.0007802699692547321,0.014171908609569073,-0.9986152648925781,0.977294921875,-0.0012852507643401623,0.12481378018856049,0.9639756944444444,0.03602430555555555,0,0
line_train_0018,train,line,0.0,0.8904845714569092,0.006726143416017294,0.05318133160471916,0.0,1.0,0.0014088123571127653,0.034307971596717834,0,-0.04488102346658707,0.028465673327445984,-0.00031108304392546415,0.0044502862729132175,-0.9607370495796204,0.9766571521759033,0.0008543586009182036,0.11027621477842331,0.9721498842592593,0.02785011574074074,0,0
line_train_0019,train,line,0.0,0.9592086672782898,0.020794428884983063,0.10215260833501816,0.0,1.0,0.00046992022544145584,0.02090471424162388,0,-0.07384227216243744,0.07500000298023224,0.0005831419257447124,0.01304507628083229,-0.9993054270744324,0.9999994039535522,0.0042117261327803135,0.12140043824911118,0.970703125,0.029296875,0,0
