sample_id,split,family,X_ref3_min,X_ref3_max,X_ref3_mean,X_ref3_std,X_ref3_nan_count,X_ref3_inf_count,GT_min,GT_max,GT_mean,GT_std,GT_nan_count,GT_inf_count,delta_rho_min,delta_rho_max,delta_rho_mean,delta_rho_std,delta_rho_nan_count,delta_rho_inf_count,Pcyc_min,Pcyc_max,Pcyc_mean,Pcyc_std,Pcyc_nan_count,Pcyc_inf_count,Pcyc_abs_le_0p25_ratio,Pcyc_abs_gt_0p25_ratio,support_alignment_iou_ref3_vs_gt,shell_boundary_voxel_count
line_train_0000,train,line,0.0,1.0,0.004491401126162802,0.04211243834553792,0,0,0.0,0.9294610023498535,0.0005632963686905525,0.022108020502054772,0,0,-0.06678342074155807,0.0,-0.0009257291067451997,0.006324563871045358,0,0,-0.956943690776825,0.999998927116394,-0.0012115130785214543,0.09077884218414213,0,0,0.9811921296296297,0.01880787037037037,0.03017241379310345,5
line_train_0001,train,line,0.0,1.0,0.012560732854025345,0.06890735304801318,0,0,0.0,0.9412720203399658,0.00282323050002257,0.04817631628617992,0,0,-0.002860620617866516,0.0719234049320221,0.0025229980173106822,0.010292747186462118,0,0,-0.9943807125091553,0.9640410542488098,-0.0017473568501473993,0.15536172817269037,0,0,0.9435763888888888,0.05642361111111111,0.069164265129683,42
line_train_0002,train,line,0.0,0.9454691410064697,0.011644583401600054,0.06838008258313151,0,0,0.0,1.0,0.000600861721775598,0.022482381975744408,0,0,-0.07411287724971771,0.0747220516204834,-0.0004426303213996882,0.011658894866323714,0,0,-0.9256665706634521,0.9999964833259583,0.002553270129636884,0.10473923567501599,0,0,0.9761284722222222,0.023871527777777776,0.020491803278688523,195
line_train_0003,train,line,0.0,1.0,0.01181161027980798,0.070956061036945,0,0,0.0,0.9836980104446411,0.0011709040134317344,0.03170753509026159,0,0,-0.07389162480831146,0.07499998807907104,0.0015375811792047763,0.012000345172396069,0,0,-0.9667691588401794,0.9999969601631165,0.0034389285577129123,0.11930748358630816,0,0,0.9688946759259259,0.031105324074074073,0.03571428571428571,195
line_train_0004,train,line,0.0,0.9821658730506897,0.008686909791827525,0.057021418121406535,0,0,0.0,1.0,0.0012850910770120445,0.034686701554163236,0,0,-0.07344979047775269,0.0747220516204834,0.0016120799679171156,0.00913120393866411,0,0,-0.9943807125091553,0.9640410542488098,0.0008160116528786064,0.10730448438468991,0,0,0.9721498842592593,0.02785011574074074,0.042986425339366516,75
line_train_0005,train,line,0.0,0.8798874616622925,0.005825598103675239,0.042871849481681934,0,0,0.0,1.0,0.0003208420843023945,0.016950557820698875,0,0,-0.07389162480831146,0.07499998807907104,-0.0011671192327479798,0.009917405298116196,0,0,-0.9788332581520081,0.9999964833259583,-0.00012711939032467652,0.09635631399878071,0,0,0.9786603009259259,0.021339699074074073,0.012953367875647668,120
line_train_0006,train,line,0.0,0.884836733341217,0.0043182729438605615,0.0357086775228127,0,0,0.0,1.0,0.0024634941946715117,0.04521606292171027,0,0,-0.0022671371698379517,0.048305317759513855,0.0007696154708456662,0.004656236600586619,0,0,-0.998612105846405,0.964989185333252,-0.002747734761012705,0.1076165454944991,0,0,0.9739583333333334,0.026041666666666668,0.12422360248447205,0
line_train_0007,train,line,0.0,0.9543970823287964,0.01738725444778942,0.07859232016526858,0,0,0.0,1.0,0.0014010117673832509,0.03448252678459288,0,0,-0.07411287724971771,0.07499998807907104,0.0009446106721750564,0.014637757192102677,0,0,-0.9820112586021423,0.9999969601631165,0.001939877577620387,0.14200309996677815,0,0,0.9558738425925926,0.044126157407407406,0.026602176541717048,295
line_train_0008,train,line,0.0,0.8476860523223877,0.008168272288457956,0.05275166492669292,0,0,0.0,1.0,0.0013809264551296278,0.03478657338229219,0,0,-0.06837531924247742,0.0,-0.0015473604693801866,0.008632121493968378,0,0,-0.9788332581520081,0.9999964833259583,-0.0008482637907339571,0.1010392320920212,0,0,0.9730902777777778,0.026909722222222224,0.04608294930875576,18
line_train_0009,train,line,0.0,0.8471689820289612,0.008087559092877604,0.050392718468970414,0,0,0.0,1.0,0.0019199729776354852,0.039352897561096174,0,0,-0.013526558876037598,0.05524376034736633,0.0011234824131760332,0.005989921859649423,0,0,-0.998612105846405,0.964989185333252,-0.0014272826420993726,0.12899105740486116,0,0,0.9609375,0.0390625,0.058419243986254296,0
